month,week_of_month,day_of_week,make,accident_area,month_claimed,week_of_month_claimed,day_of_week_claimed,year,weeks_past,is_holidayweek_claim,sex,marital_status,fault,vehicle_category,vehicle_price,rep_number,deductible,driver_rating,days_policy-accident,days_policy-claim,past_number_of_claims,age_of_vehicle,age_of_policy-holder,police_report_filed,witness_present,agent_type,number_of_suppliments,address_change-claim,number_of_cars,base_policy,class
mar,1,friday,chevrolet,urban,mar,3,fri,1994,2,0,male,single,policy-holder,utility,>69,13,400,2,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,all-perils,legal
apr,2,friday,pontiac,urban,apr,2,wed,1994,0,0,male,married,policy-holder,sedan,<20,13,400,2,>30,>30,none,7,36<=X<=40,no,no,external,>5,none,<3,collision,legal
may,2,sunday,ford,urban,may,3,tue,1994,1,0,male,married,third-party,sedan,30<=X<=39,3,400,2,>30,>30,none,8,41<=X<=50,no,no,external,none,none,<3,collision,legal
apr,3,friday,honda,urban,apr,3,mon,1994,0,0,male,single,policy-holder,sedan,<20,16,400,4,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,>5,none,<3,all-perils,legal
apr,2,sunday,honda,urban,apr,2,tue,1994,0,0,male,single,third-party,sedan,20<=X<=29,9,400,3,>30,>30,one,6,31<=X<=35,no,no,external,>5,none,<3,collision,legal
jun,2,thursday,honda,urban,jun,3,mon,1994,1,0,male,single,policy-holder,sedan,20<=X<=29,13,400,3,>30,>30,none,8,41<=X<=50,no,no,external,>5,none,<3,all-perils,legal
may,5,saturday,pontiac,urban,jun,3,mon,1994,3,0,female,single,policy-holder,sedan,<20,9,400,4,>30,>30,>4,5,31<=X<=35,no,no,external,none,none,<3,collision,legal
aug,4,saturday,mazda,urban,sep,1,fri,1994,2,0,male,married,third-party,sedan,30<=X<=39,13,400,1,>30,>30,2<=X<=4,8,41<=X<=50,no,no,external,3<=X<=5,none,<3,all-perils,legal
may,2,monday,pontiac,urban,may,2,fri,1994,0,0,male,married,third-party,sedan,20<=X<=29,1,400,2,>30,>30,one,6,31<=X<=35,no,no,external,3<=X<=5,none,<3,all-perils,legal
sep,4,friday,chevrolet,urban,jan,3,mon,1994,19,1,male,married,policy-holder,sedan,20<=X<=29,15,400,3,>30,>30,>4,7,31<=X<=35,no,no,external,3<=X<=5,none,<3,collision,legal
nov,3,sunday,mazda,urban,nov,5,mon,1994,2,0,male,married,policy-holder,sport,30<=X<=39,14,400,3,>30,>30,one,7,31<=X<=35,no,no,external,3<=X<=5,none,<3,liability,legal
dec,4,saturday,pontiac,urban,jun,5,wed,1994,31,0,male,married,policy-holder,sport,30<=X<=39,2,400,3,>30,>30,>4,7,36<=X<=40,no,no,external,>5,none,3<=X<=4,liability,legal
dec,4,saturday,chevrolet,urban,jan,1,mon,1994,2,1,male,married,policy-holder,sedan,30<=X<=39,11,400,3,>30,>30,one,8,41<=X<=50,no,no,external,none,4<=X<=8,<3,all-perils,legal
dec,4,thursday,mazda,urban,jan,1,sun,1994,2,1,male,married,third-party,sedan,20<=X<=29,10,400,1,>30,>30,one,8,51<=X<=65,no,no,external,>5,none,<3,collision,legal
feb,2,friday,chevrolet,urban,feb,2,fri,1994,0,0,male,single,policy-holder,sedan,20<=X<=29,7,400,2,>30,>30,one,4-Jan,21<=X<=25,no,no,external,>5,none,<3,collision,legal
jun,4,monday,toyota,urban,jun,4,mon,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,7,400,1,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,>5,none,<3,collision,legal
jul,4,saturday,pontiac,urban,aug,5,thu,1994,6,0,male,single,policy-holder,sedan,30<=X<=39,10,400,3,>30,>30,one,6,31<=X<=35,no,no,external,3<=X<=5,none,<3,collision,legal
jul,3,friday,pontiac,urban,aug,1,thu,1994,3,0,male,married,policy-holder,sedan,30<=X<=39,4,400,4,>30,>30,>4,7,36<=X<=40,no,no,external,>5,none,<3,collision,legal
may,2,monday,honda,urban,may,3,mon,1994,1,0,male,married,policy-holder,sedan,<20,16,400,3,>30,>30,none,8,41<=X<=50,no,no,external,none,none,<3,all-perils,fraud
jun,2,friday,honda,urban,jun,2,fri,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,16,400,4,>30,>30,none,8,51<=X<=65,yes,no,external,1<=X<=2,none,<3,all-perils,legal
mar,3,tuesday,mazda,rural,mar,3,fri,1994,0,0,male,married,policy-holder,sport,20<=X<=29,7,400,1,>30,>30,one,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,liability,legal
feb,4,sunday,toyota,urban,mar,1,wed,1994,2,0,male,married,third-party,sedan,20<=X<=29,2,400,3,>30,>30,none,6,41<=X<=50,no,no,external,>5,none,<3,collision,legal
may,2,thursday,toyota,urban,jun,4,thu,1994,7,0,male,married,policy-holder,sedan,>69,12,400,2,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
may,1,wednesday,mazda,urban,may,2,mon,1994,1,0,male,married,policy-holder,sedan,30<=X<=39,10,400,4,>30,>30,>4,7,31<=X<=35,no,no,external,none,none,<3,collision,legal
jun,1,friday,mazda,urban,jun,2,tue,1994,1,0,male,married,third-party,utility,>69,13,400,3,>30,>30,one,8,41<=X<=50,no,no,external,3<=X<=5,none,<3,all-perils,legal
jul,4,saturday,ford,urban,jun,3,thu,1994,54,0,male,married,third-party,sedan,30<=X<=39,16,400,2,>30,>30,2<=X<=4,8,51<=X<=65,no,no,external,1<=X<=2,none,<3,all-perils,legal
jul,1,saturday,toyota,urban,jul,3,tue,1994,2,0,male,married,policy-holder,sedan,20<=X<=29,2,400,1,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,none,none,<3,collision,legal
may,2,monday,accura,rural,may,2,wed,1994,0,0,male,married,policy-holder,sedan,>69,2,400,4,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,none,none,<3,all-perils,fraud
jun,4,monday,pontiac,urban,jul,1,fri,1994,2,0,male,married,third-party,sedan,20<=X<=29,16,400,1,>30,>30,none,7,41<=X<=50,no,no,external,>5,none,<3,all-perils,legal
oct,1,tuesday,toyota,urban,oct,1,wed,1994,0,0,female,married,policy-holder,sedan,20<=X<=29,3,400,1,>30,>30,one,4-Jan,41<=X<=50,no,no,external,none,none,<3,collision,legal
oct,1,sunday,pontiac,urban,oct,1,mon,1994,0,0,male,married,third-party,sedan,20<=X<=29,3,400,4,>30,>30,2<=X<=4,8,51<=X<=65,no,no,external,3<=X<=5,none,<3,all-perils,legal
oct,3,tuesday,chevrolet,urban,oct,3,thu,1994,0,0,female,single,policy-holder,sedan,30<=X<=39,4,400,4,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,none,none,<3,collision,legal
oct,3,friday,mazda,urban,oct,3,mon,1994,0,0,female,married,policy-holder,sedan,20<=X<=29,13,400,4,>30,>30,none,5,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
mar,4,wednesday,saab,rural,apr,1,mon,1994,2,1,male,married,policy-holder,sedan,30<=X<=39,8,400,3,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,none,4<=X<=8,<3,collision,legal
apr,1,wednesday,toyota,urban,apr,1,wed,1994,0,1,female,single,policy-holder,sedan,>69,5,400,3,>30,>30,2<=X<=4,5,26<=X<=30,no,no,external,none,none,<3,collision,legal
jun,3,saturday,toyota,rural,jun,4,tue,1994,1,0,male,married,third-party,sedan,20<=X<=29,1,400,3,>30,>30,one,8,41<=X<=50,yes,no,external,none,none,<3,all-perils,legal
jun,3,friday,chevrolet,urban,jun,3,tue,1994,0,0,male,single,policy-holder,sport,30<=X<=39,4,400,3,>30,>30,one,7,31<=X<=35,no,no,external,3<=X<=5,none,<3,liability,legal
aug,2,monday,pontiac,rural,aug,2,tue,1994,0,0,male,married,third-party,sedan,<20,16,400,1,>30,>30,2<=X<=4,4-Jan,31<=X<=35,no,no,external,>5,none,<3,all-perils,legal
sep,5,friday,honda,urban,oct,4,tue,1994,4,0,male,married,policy-holder,sedan,30<=X<=39,6,400,3,>30,>30,2<=X<=4,8,51<=X<=65,no,no,external,none,none,<3,all-perils,legal
dec,2,thursday,pontiac,rural,dec,2,tue,1994,0,0,male,married,third-party,sedan,20<=X<=29,10,400,2,>30,>30,none,8,41<=X<=50,no,no,external,1<=X<=2,none,<3,collision,legal
dec,2,monday,chevrolet,urban,dec,2,mon,1994,0,0,male,married,policy-holder,sport,30<=X<=39,14,400,3,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,>5,none,<3,liability,legal
sep,3,friday,toyota,urban,sep,3,mon,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,3,400,3,>30,>30,one,6,31<=X<=35,no,no,external,none,none,<3,collision,legal
jun,4,thursday,toyota,urban,jun,4,thu,1994,0,0,male,single,policy-holder,sport,20<=X<=29,13,400,1,>30,>30,none,6,31<=X<=35,no,no,external,>5,none,<3,liability,legal
may,4,sunday,toyota,urban,may,4,mon,1994,0,0,male,married,policy-holder,sport,20<=X<=29,14,400,3,>30,>30,2<=X<=4,7,>65,no,no,external,3<=X<=5,none,<3,liability,legal
may,4,monday,chevrolet,urban,may,4,mon,1994,0,0,male,single,policy-holder,sport,30<=X<=39,5,400,3,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,>5,none,<3,liability,legal
may,3,friday,mazda,urban,may,4,wed,1994,1,0,male,married,third-party,sport,>69,11,500,4,>30,>30,none,7,31<=X<=35,no,no,external,3<=X<=5,2<=X<=3,<3,collision,fraud
mar,4,saturday,pontiac,urban,mar,4,mon,1994,0,0,male,married,third-party,sedan,<20,7,400,2,>30,>30,none,7,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
mar,1,friday,accura,urban,mar,1,fri,1994,0,0,male,married,policy-holder,sedan,>69,4,400,2,>30,>30,one,8,41<=X<=50,no,no,external,>5,none,<3,all-perils,legal
feb,4,wednesday,vW,urban,mar,2,wed,1994,3,0,male,married,policy-holder,sedan,20<=X<=29,15,400,4,>30,>30,none,8,36<=X<=40,no,no,external,>5,none,<3,all-perils,legal
feb,2,wednesday,toyota,urban,feb,2,thu,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,3,400,1,>30,>30,none,8,41<=X<=50,no,no,external,none,none,<3,collision,legal
may,2,monday,honda,urban,jun,3,tue,1994,6,0,male,married,third-party,sport,>69,3,400,2,>30,>30,none,8,41<=X<=50,no,no,external,none,none,<3,collision,legal
feb,2,wednesday,accura,urban,feb,4,mon,1994,2,1,male,married,policy-holder,sedan,20<=X<=29,4,400,4,>30,>30,2<=X<=4,8,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
feb,2,tuesday,pontiac,urban,feb,2,tue,1994,0,0,male,married,third-party,sport,30<=X<=39,1,400,3,>30,>30,2<=X<=4,7,36<=X<=40,no,no,internal,1<=X<=2,none,3<=X<=4,liability,legal
jan,3,monday,pontiac,urban,jan,3,mon,1994,0,1,male,single,policy-holder,sedan,30<=X<=39,3,400,3,>30,>30,one,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
jan,3,tuesday,honda,rural,jan,3,tue,1994,0,1,female,single,policy-holder,sedan,20<=X<=29,6,400,1,>30,>30,none,7,36<=X<=40,no,no,external,3<=X<=5,4<=X<=8,<3,collision,legal
jan,3,wednesday,ford,urban,jan,3,wed,1994,0,1,female,married,policy-holder,sport,40<=X<=59,12,400,2,>30,>30,one,8,51<=X<=65,no,no,external,none,none,<3,liability,legal
jan,3,monday,honda,urban,jan,3,mon,1994,0,1,male,married,policy-holder,sedan,<20,7,400,3,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,all-perils,legal
jan,3,sunday,accura,urban,jan,5,mon,1994,2,0,male,single,policy-holder,utility,>69,4,400,3,>30,>30,none,7,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
jan,2,thursday,pontiac,urban,jan,3,fri,1994,1,1,male,married,policy-holder,sport,20<=X<=29,9,400,4,>30,>30,>4,6,31<=X<=35,no,no,external,none,none,<3,liability,legal
may,2,tuesday,toyota,urban,may,5,tue,1994,3,1,male,married,third-party,sedan,20<=X<=29,7,400,3,>30,>30,2<=X<=4,8,51<=X<=65,no,no,external,>5,none,<3,collision,legal
dec,3,saturday,toyota,urban,dec,3,tue,1994,0,0,male,married,policy-holder,sport,20<=X<=29,6,700,1,>30,>30,one,8,51<=X<=65,no,no,external,>5,none,<3,liability,legal
dec,3,sunday,honda,urban,jan,1,mon,1994,3,1,male,single,third-party,sedan,20<=X<=29,1,400,2,>30,>30,2<=X<=4,4-Jan,26<=X<=30,no,no,external,none,none,<3,all-perils,legal
sep,4,wednesday,pontiac,urban,oct,1,tue,1994,2,0,male,married,policy-holder,sedan,>69,11,400,1,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,none,none,<3,collision,legal
sep,2,wednesday,vW,urban,sep,2,wed,1994,0,1,male,married,policy-holder,sport,60<=X<=69,15,400,1,>30,>30,2<=X<=4,8,41<=X<=50,no,no,external,>5,none,<3,liability,legal
jul,5,saturday,pontiac,urban,aug,4,mon,1994,4,0,female,single,policy-holder,sedan,20<=X<=29,1,400,2,>30,>30,none,4-Jan,21<=X<=25,no,no,external,>5,none,<3,all-perils,legal
jun,2,monday,honda,urban,jun,3,tue,1994,1,0,male,married,third-party,sedan,20<=X<=29,8,400,2,>30,>30,one,7,51<=X<=65,no,yes,external,3<=X<=5,none,<3,collision,legal
jun,1,saturday,pontiac,urban,jul,1,mon,1994,5,0,male,married,policy-holder,utility,40<=X<=59,4,400,1,>30,>30,>4,7,31<=X<=35,no,no,external,none,none,<3,all-perils,legal
may,3,thursday,accura,urban,jul,1,tue,1994,8,0,male,married,policy-holder,sedan,>69,13,400,4,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,3<=X<=5,none,<3,all-perils,legal
apr,3,wednesday,honda,urban,apr,3,wed,1994,0,0,male,married,third-party,sedan,<20,4,400,1,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,>5,none,<3,all-perils,legal
feb,4,saturday,honda,urban,mar,1,wed,1994,2,0,male,single,policy-holder,sedan,>69,3,400,3,>30,>30,none,4-Jan,16<=X<=17,no,no,external,none,none,<3,all-perils,legal
feb,4,friday,honda,urban,feb,4,fri,1994,0,1,male,single,policy-holder,sport,>69,16,400,2,>30,>30,2<=X<=4,4-Jan,16<=X<=17,no,no,external,none,none,<3,liability,legal
may,2,saturday,pontiac,rural,may,2,tue,1994,0,0,male,married,policy-holder,sedan,30<=X<=39,10,400,4,>30,>30,one,5,31<=X<=35,no,no,external,none,none,<3,collision,legal
apr,1,sunday,accura,urban,apr,3,thu,1994,2,0,male,single,third-party,sedan,>69,14,400,3,>30,>30,2<=X<=4,4-Jan,36<=X<=40,no,no,external,>5,none,<3,collision,legal
jul,1,monday,honda,urban,jul,1,mon,1994,0,0,male,married,policy-holder,sport,20<=X<=29,2,400,1,>30,>30,>4,7,36<=X<=40,no,no,external,none,none,<3,liability,legal
may,2,monday,chevrolet,urban,may,2,wed,1994,0,0,female,married,policy-holder,sport,20<=X<=29,8,400,1,>30,>30,2<=X<=4,4-Jan,51<=X<=65,no,no,external,none,none,<3,liability,legal
may,2,tuesday,pontiac,urban,jun,3,fri,1994,6,0,male,married,policy-holder,sedan,20<=X<=29,16,400,1,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,none,one,<3,all-perils,fraud
oct,4,saturday,vW,urban,oct,4,mon,1994,0,0,female,widow,policy-holder,sedan,60<=X<=69,4,400,1,>30,>30,none,7,36<=X<=40,no,no,internal,none,none,<3,collision,legal
oct,4,saturday,toyota,urban,oct,4,mon,1994,0,0,male,married,third-party,sedan,20<=X<=29,8,400,1,>30,>30,none,7,31<=X<=35,no,no,external,none,none,<3,collision,legal
oct,3,friday,pontiac,urban,oct,4,mon,1994,1,0,male,single,policy-holder,sport,30<=X<=39,13,400,3,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,>5,none,<3,liability,legal
sep,3,saturday,ford,urban,sep,3,tue,1994,0,0,male,married,policy-holder,sedan,40<=X<=59,11,400,1,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,>5,none,<3,collision,legal
jun,4,tuesday,honda,urban,jun,4,tue,1994,0,0,male,married,policy-holder,sport,20<=X<=29,9,400,2,>30,>30,2<=X<=4,8,41<=X<=50,no,no,external,none,none,<3,liability,legal
may,2,tuesday,toyota,urban,may,3,tue,1994,1,0,male,married,policy-holder,sedan,20<=X<=29,5,400,1,>30,>30,none,7,41<=X<=50,no,no,external,1<=X<=2,none,<3,all-perils,fraud
may,2,tuesday,toyota,rural,may,3,mon,1994,1,0,female,single,policy-holder,sedan,<20,15,400,2,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,3<=X<=5,none,<3,all-perils,fraud
may,2,tuesday,ford,urban,may,3,wed,1994,1,0,male,married,policy-holder,sedan,40<=X<=59,3,400,3,>30,>30,none,8,51<=X<=65,no,no,external,none,none,<3,collision,legal
feb,2,thursday,pontiac,urban,feb,2,fri,1994,0,0,female,married,policy-holder,sedan,<20,2,400,4,>30,>30,one,7,31<=X<=35,no,no,external,>5,none,<3,all-perils,legal
jan,2,wednesday,pontiac,urban,jan,3,mon,1994,1,1,male,married,policy-holder,sport,40<=X<=59,3,400,2,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,none,none,<3,liability,legal
jan,2,tuesday,accura,urban,jan,2,fri,1994,0,0,male,married,policy-holder,sedan,40<=X<=59,8,400,3,>30,>30,one,5,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
jan,2,sunday,mazda,rural,jan,3,wed,1994,1,1,male,single,policy-holder,sedan,20<=X<=29,2,400,3,>30,>30,one,7,31<=X<=35,no,no,external,>5,none,<3,collision,legal
jan,2,saturday,mazda,urban,jan,2,thu,1994,0,0,male,married,third-party,sport,30<=X<=39,15,400,3,>30,>30,none,7,>65,no,no,external,>5,none,<3,liability,legal
jan,2,monday,toyota,urban,feb,2,thu,1994,5,0,male,married,policy-holder,sedan,<20,10,400,2,>30,>30,none,8,>65,no,no,external,none,none,<3,collision,legal
jan,1,monday,pontiac,urban,jan,3,tue,1994,2,1,male,single,policy-holder,sedan,<20,5,400,2,>30,>30,one,6,31<=X<=35,no,no,external,none,none,<3,collision,legal
jan,1,tuesday,mazda,urban,jan,1,wed,1994,0,1,female,married,third-party,sedan,>69,5,700,1,>30,>30,one,7,36<=X<=40,no,no,external,none,none,<3,collision,legal
jan,1,tuesday,toyota,urban,jan,1,tue,1994,0,1,male,married,policy-holder,sedan,20<=X<=29,13,400,1,>30,>30,none,7,36<=X<=40,no,no,external,none,none,<3,all-perils,legal
dec,5,saturday,mazda,urban,jan,2,wed,1994,2,0,male,married,policy-holder,sport,20<=X<=29,4,400,2,>30,>30,>4,7,41<=X<=50,no,no,external,>5,none,3<=X<=4,liability,legal
dec,5,saturday,honda,urban,jan,2,mon,1994,2,0,male,married,policy-holder,sedan,20<=X<=29,10,400,4,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
may,2,wednesday,accura,rural,may,3,wed,1994,1,0,male,married,policy-holder,sedan,20<=X<=29,12,400,2,>30,>30,none,5,>65,no,no,external,>5,none,<3,all-perils,fraud
dec,4,monday,chevrolet,urban,jan,1,mon,1994,2,1,male,single,third-party,sport,20<=X<=29,10,500,2,>30,>30,none,7,31<=X<=35,no,no,external,3<=X<=5,2<=X<=3,<3,liability,legal
dec,4,tuesday,pontiac,urban,jan,4,wed,1994,5,0,male,married,policy-holder,sedan,20<=X<=29,9,400,2,>30,>30,2<=X<=4,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,all-perils,legal
dec,2,tuesday,toyota,rural,dec,3,mon,1994,1,0,male,single,policy-holder,sport,30<=X<=39,12,400,1,>30,>30,>4,7,31<=X<=35,no,no,external,none,none,<3,liability,legal
dec,1,monday,honda,urban,dec,2,tue,1994,1,0,male,married,third-party,sedan,20<=X<=29,1,400,2,>30,>30,none,7,31<=X<=35,no,no,external,3<=X<=5,none,<3,collision,legal
dec,1,saturday,honda,urban,jan,2,mon,1994,6,0,male,single,policy-holder,sport,20<=X<=29,2,400,2,>30,>30,>4,8,41<=X<=50,no,no,external,>5,none,<3,liability,legal
aug,5,wednesday,pontiac,urban,sep,1,thu,1994,1,0,female,married,policy-holder,sport,30<=X<=39,14,400,2,>30,>30,2<=X<=4,6,36<=X<=40,no,no,external,1<=X<=2,none,<3,liability,legal
aug,3,monday,pontiac,urban,aug,3,thu,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,10,400,4,>30,>30,none,5,36<=X<=40,no,no,external,none,none,<3,collision,legal
jul,5,thursday,pontiac,urban,jul,5,thu,1994,0,0,female,married,policy-holder,sedan,20<=X<=29,8,400,1,>30,>30,2<=X<=4,5,36<=X<=40,no,no,external,>5,none,<3,collision,legal
jul,5,friday,pontiac,urban,aug,1,mon,1994,1,0,female,single,policy-holder,sedan,20<=X<=29,15,400,1,>30,>30,2<=X<=4,6,36<=X<=40,no,no,external,>5,none,<3,collision,legal
may,2,wednesday,mazda,urban,may,2,thu,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,5,400,1,>30,>30,one,7,36<=X<=40,no,no,external,1<=X<=2,none,<3,all-perils,fraud
may,1,thursday,chevrolet,urban,may,1,thu,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,15,400,1,>30,>30,none,8,51<=X<=65,no,no,external,none,none,<3,collision,legal
mar,5,wednesday,mazda,urban,apr,2,thu,1994,2,0,male,married,policy-holder,sedan,20<=X<=29,7,400,2,>30,>30,2<=X<=4,7,36<=X<=40,no,no,external,3<=X<=5,none,<3,collision,legal
mar,5,monday,mazda,rural,apr,1,fri,1994,1,1,male,single,policy-holder,sedan,20<=X<=29,1,400,3,>30,>30,one,7,31<=X<=35,no,no,external,1<=X<=2,none,<3,collision,legal
mar,1,tuesday,chevrolet,rural,mar,1,fri,1994,0,0,male,married,policy-holder,sedan,30<=X<=39,8,400,4,>30,>30,none,8,41<=X<=50,no,no,external,none,none,<3,collision,legal
feb,5,monday,dodge,urban,mar,1,tue,1994,1,0,male,married,policy-holder,sport,30<=X<=39,13,400,1,>30,>30,2<=X<=4,8,>65,no,no,external,none,none,<3,liability,legal
may,2,wednesday,accura,urban,may,3,mon,1994,1,0,male,married,policy-holder,utility,>69,7,400,1,>30,>30,none,8,51<=X<=65,no,no,external,3<=X<=5,none,<3,all-perils,fraud
feb,1,friday,pontiac,urban,feb,2,mon,1994,1,0,male,married,third-party,sport,20<=X<=29,16,400,1,>30,>30,2<=X<=4,8,36<=X<=40,no,no,external,1<=X<=2,none,<3,liability,legal
nov,2,friday,honda,urban,jun,4,fri,1994,37,0,male,single,policy-holder,sedan,>69,8,400,3,>30,>30,one,4-Jan,16<=X<=17,no,no,external,none,none,<3,all-perils,legal
may,2,thursday,pontiac,rural,jun,3,tue,1994,6,0,male,single,policy-holder,sedan,20<=X<=29,16,400,4,>30,>30,none,6,31<=X<=35,no,no,external,3<=X<=5,none,<3,all-perils,fraud
may,2,thursday,accura,urban,jun,4,fri,1994,7,0,male,married,third-party,sedan,30<=X<=39,2,400,1,>30,>30,none,7,31<=X<=35,no,no,external,none,none,<3,all-perils,legal
sep,3,thursday,saturn,urban,jan,2,wed,1994,19,0,male,married,policy-holder,sedan,20<=X<=29,3,400,2,>30,>30,none,8,41<=X<=50,no,no,external,>5,none,<3,all-perils,legal
dec,1,friday,honda,urban,dec,4,fri,1994,3,0,male,married,policy-holder,sedan,20<=X<=29,7,400,4,>30,>30,2<=X<=4,8,41<=X<=50,no,no,external,3<=X<=5,4<=X<=8,<3,collision,legal
mar,2,sunday,honda,urban,mar,2,mon,1994,0,0,female,married,policy-holder,sedan,20<=X<=29,13,400,4,>30,>30,>4,6,31<=X<=35,no,no,external,none,none,<3,collision,legal
mar,2,sunday,mazda,urban,mar,2,mon,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,2,400,4,>30,>30,one,6,36<=X<=40,no,no,external,none,none,<3,collision,legal
mar,2,tuesday,saturn,urban,mar,2,thu,1994,0,0,male,single,policy-holder,sedan,20<=X<=29,11,400,2,>30,>30,none,8,41<=X<=50,no,no,external,none,none,<3,all-perils,legal
mar,2,wednesday,chevrolet,urban,mar,2,fri,1994,0,0,male,single,third-party,sedan,20<=X<=29,5,400,2,>30,>30,2<=X<=4,6,31<=X<=35,no,no,external,none,none,<3,collision,legal
mar,1,monday,pontiac,urban,mar,1,mon,1994,0,0,male,married,policy-holder,sport,20<=X<=29,7,400,2,>30,>30,2<=X<=4,5,31<=X<=35,no,no,external,>5,none,<3,liability,legal
feb,3,friday,honda,urban,feb,3,fri,1994,0,0,male,married,policy-holder,sport,>69,14,400,3,>30,>30,>4,6,36<=X<=40,no,no,external,none,none,<3,liability,legal
may,2,thursday,toyota,urban,may,4,tue,1994,2,0,male,married,policy-holder,sedan,<20,12,400,3,none,15<=X<=30,2<=X<=4,6,36<=X<=40,no,no,external,1<=X<=2,none,<3,all-perils,fraud
feb,2,monday,mazda,urban,feb,2,mon,1994,0,0,male,married,policy-holder,sport,30<=X<=39,7,400,2,>30,>30,2<=X<=4,7,41<=X<=50,no,no,external,none,none,<3,liability,legal
nov,4,sunday,chevrolet,rural,dec,4,fri,1994,5,0,male,single,policy-holder,sport,20<=X<=29,2,400,2,>30,>30,one,6,31<=X<=35,no,no,external,>5,none,<3,liability,legal
jun,3,wednesday,pontiac,urban,jun,3,thu,1994,0,0,male,single,policy-holder,sedan,20<=X<=29,8,400,4,>30,>30,2<=X<=4,7,51<=X<=65,no,no,external,>5,none,<3,collision,legal
jun,2,friday,honda,urban,jun,2,mon,1994,0,0,male,married,third-party,sedan,20<=X<=29,14,400,1,>30,>30,none,8,41<=X<=50,no,no,external,none,none,<3,all-perils,legal
jun,2,saturday,honda,urban,jun,3,tue,1994,1,0,female,married,policy-holder,sport,30<=X<=39,2,400,1,>30,>30,>4,7,36<=X<=40,no,no,external,>5,none,<3,liability,legal
mar,3,saturday,toyota,urban,mar,4,tue,1994,1,0,male,married,third-party,sedan,20<=X<=29,14,400,2,>30,>30,2<=X<=4,8,51<=X<=65,no,no,external,none,none,<3,all-perils,legal
mar,2,thursday,pontiac,urban,mar,2,thu,1994,0,0,male,married,policy-holder,sedan,<20,16,400,4,>30,>30,one,5,41<=X<=50,no,no,external,none,none,<3,all-perils,legal
feb,4,thursday,pontiac,urban,feb,4,fri,1994,0,1,male,married,third-party,sedan,<20,13,400,3,>30,>30,2<=X<=4,8,36<=X<=40,no,no,external,>5,none,<3,collision,legal
feb,3,friday,ford,urban,feb,4,wed,1994,1,1,male,married,policy-holder,sport,30<=X<=39,10,400,2,>30,>30,one,8,51<=X<=65,no,no,external,none,none,<3,liability,legal
feb,2,thursday,honda,urban,feb,2,thu,1994,0,0,male,married,policy-holder,sedan,20<=X<=29,12,400,3,>30,>30,none,5,36<=X<=40,no,no,external,1<=X<=2,none,3<=X<=4,collision,legal
feb,2,wednesday,honda,urban,feb,2,fri,1994,0,0,male,single,policy-holder,sport,>69,9,400,3,>30,>30,>4,4-Jan,16<=X<=17,no,no,external,none,none,<3,liability,legal
feb,2,thursday,honda,urban,feb,2,fri,1994,0,0,male,single,policy-holder,sport,20<=X<=29,3,400,4,>30,>30,>4,6,31<=X<=35,no,no,external,>5,none,<3,liability,legal
jan,3,tuesday,honda,urban,jan,3,tue,1994,0,1,male,single,policy-holder,sport,20<=X<=29,12,400,2,>30,>30,none,5,31<=X<=35,no,no,external,none,none,<3,liability,legal
